id,fact
1,The first human to orbit Earth was Yuri Gagarin in 1961.
2,The Apollo 11 mission landed the first humans on the Moon in 1969.
3,The Hubble Space Telescope was launched in 1990 and has provided stunning images of the universe.
4,"Mars is the most explored planet in the solar system, with multiple rovers sent by NASA."
5,The International Space Station (ISS) has been continuously occupied since November 2000.
6,"Voyager 1 is the farthest human-made object from Earth, launched in 1977."
7,"SpaceX, founded by Elon Musk, is the first private company to send humans to orbit."
8,"The James Webb Space Telescope, launched in 2021, is the successor to the Hubble Telescope."
9,The Milky Way galaxy contains over 100 billion stars.
10,Black holes are regions of spacetime where gravity is so strong that nothing can escape.
